chunk_id,text
1,Medicine Name: Electral. Strength: 400mg. Used for: Throat Infection. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 tablet after meals.
2,Medicine Name: Ranitidine. Strength: 200ml. Used for: Inflammation. Alternative medicines: Metformin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
3,Medicine Name: Ranitidine. Strength: 10ml. Used for: Immunity Boost. Alternative medicines: Cetirizine. Stock Available: YES. Dosage: 1 tablet at night.
4,Medicine Name: Crocin. Strength: 100mg. Used for: Diabetes. Alternative medicines: Famotidine. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
5,Medicine Name: Ibuprofen. Strength: 400mg. Used for: Diabetes. Alternative medicines: Crocin. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
6,Medicine Name: Paracetamol. Strength: 10ml. Used for: Throat Infection. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 tablet daily.
7,Medicine Name: Dolo. Strength: 100mg. Used for: Pain. Alternative medicines: Azithromycin. Stock Available: YES. Dosage: 1 tablet at night.
8,Medicine Name: Dolo. Strength: 650mg. Used for: Pain. Alternative medicines: Ranitidine. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
9,Medicine Name: Diclofenac. Strength: 250mg. Used for: Pain. Alternative medicines: Metformin. Stock Available: NO. Dosage: 1 tablet after meals.
10,Medicine Name: Clarithromycin. Strength: 10ml. Used for: Fever. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 tablet at night.
11,Medicine Name: Dolo. Strength: 400mg. Used for: Acidity. Alternative medicines: Zincovit. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
12,Medicine Name: Paracetamol. Strength: 250mg. Used for: Acidity. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 tablet daily.
13,Medicine Name: Zincovit. Strength: 400mg. Used for: Inflammation. Alternative medicines: Metformin. Stock Available: YES. Dosage: 1 tablet after meals.
14,Medicine Name: Ors. Strength: 100mg. Used for: Headache. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
15,Medicine Name: Clarithromycin. Strength: 400mg. Used for: Pain. Alternative medicines: Ranitidine. Stock Available: YES. Dosage: 1 tablet daily.
16,Medicine Name: Ors. Strength: 650mg. Used for: Bacterial Infection. Alternative medicines: Vitamin C. Stock Available: YES. Dosage: 1 tablet daily.
17,Medicine Name: Electral. Strength: 650mg. Used for: Acidity. Alternative medicines: Paracetamol. Stock Available: NO. Dosage: As directed by doctor.
18,Medicine Name: Metformin. Strength: 650mg. Used for: Pain. Alternative medicines: Metformin. Stock Available: YES. Dosage: 1 tablet after meals.
19,Medicine Name: Metformin. Strength: 400mg. Used for: Headache. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: As directed by doctor.
20,Medicine Name: Ors. Strength: 200ml. Used for: Headache. Alternative medicines: Vitamin C. Stock Available: YES. Dosage: As directed by doctor.
21,Medicine Name: Clarithromycin. Strength: 100mg. Used for: Inflammation. Alternative medicines: Levocetirizine. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
22,Medicine Name: Paracetamol. Strength: 100mg. Used for: Dehydration. Alternative medicines: Amoxicillin. Stock Available: NO. Dosage: As directed by doctor.
23,Medicine Name: Vitamin C. Strength: 650mg. Used for: Bacterial Infection. Alternative medicines: Glimepiride. Stock Available: YES. Dosage: 1 tablet at night.
24,Medicine Name: Ors. Strength: 100mg. Used for: Inflammation. Alternative medicines: Glimepiride. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
25,Medicine Name: Clarithromycin. Strength: 250mg. Used for: Fever. Alternative medicines: Paracetamol. Stock Available: YES. Dosage: 1 tablet daily.
26,Medicine Name: Famotidine. Strength: 650mg. Used for: Acidity. Alternative medicines: Glimepiride. Stock Available: NO. Dosage: 1 tablet after meals.
27,Medicine Name: Diclofenac. Strength: 250mg. Used for: Cold. Alternative medicines: Paracetamol. Stock Available: NO. Dosage: 1 tablet daily.
28,Medicine Name: Vitamin C. Strength: 500mg. Used for: Immunity Boost. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
29,Medicine Name: Glimepiride. Strength: 10ml. Used for: Throat Infection. Alternative medicines: Amoxicillin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
30,Medicine Name: Glimepiride. Strength: 100mg. Used for: Immunity Boost. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 tablet at night.
31,Medicine Name: Azithromycin. Strength: 400mg. Used for: Throat Infection. Alternative medicines: Famotidine. Stock Available: YES. Dosage: As directed by doctor.
32,Medicine Name: Amoxicillin. Strength: 250mg. Used for: Acidity. Alternative medicines: Insulin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
33,Medicine Name: Amoxicillin. Strength: 400mg. Used for: Headache. Alternative medicines: Glimepiride. Stock Available: YES. Dosage: As directed by doctor.
34,Medicine Name: Levocetirizine. Strength: 200ml. Used for: Inflammation. Alternative medicines: Azithromycin. Stock Available: YES. Dosage: As directed by doctor.
35,Medicine Name: Famotidine. Strength: 10ml. Used for: Dehydration. Alternative medicines: Vitamin C. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
36,Medicine Name: Cetirizine. Strength: 400mg. Used for: Allergy. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 tablet daily.
37,Medicine Name: Diclofenac. Strength: 500mg. Used for: Immunity Boost. Alternative medicines: Metformin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
38,Medicine Name: Famotidine. Strength: 200ml. Used for: Inflammation. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 tablet daily.
39,Medicine Name: Dolo. Strength: 200ml. Used for: Bacterial Infection. Alternative medicines: ORS. Stock Available: NO. Dosage: 1 tablet after meals.
40,Medicine Name: Zincovit. Strength: 500mg. Used for: Allergy. Alternative medicines: Vitamin C. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
41,Medicine Name: Clarithromycin. Strength: 250mg. Used for: Immunity Boost. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
42,Medicine Name: Famotidine. Strength: 200ml. Used for: Bacterial Infection. Alternative medicines: Ibuprofen. Stock Available: YES. Dosage: 1 tablet after meals.
43,Medicine Name: Ors. Strength: 10ml. Used for: Pain. Alternative medicines: Ranitidine. Stock Available: NO. Dosage: 1 tablet daily.
44,Medicine Name: Azithromycin. Strength: 250mg. Used for: Bacterial Infection. Alternative medicines: Azithromycin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
45,Medicine Name: Famotidine. Strength: 250mg. Used for: Allergy. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
46,Medicine Name: Vitamin C. Strength: 650mg. Used for: Allergy. Alternative medicines: Zincovit. Stock Available: NO. Dosage: 1 tablet after meals.
47,Medicine Name: Insulin. Strength: 200ml. Used for: Acidity. Alternative medicines: Levocetirizine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
48,Medicine Name: Dolo. Strength: 250mg. Used for: Cold. Alternative medicines: ORS. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
49,Medicine Name: Azithromycin. Strength: 500mg. Used for: Fever. Alternative medicines: Famotidine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
50,Medicine Name: Levocetirizine. Strength: 100mg. Used for: Cold. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
51,Medicine Name: Azithromycin. Strength: 500mg. Used for: Headache. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
52,Medicine Name: Electral. Strength: 250mg. Used for: Throat Infection. Alternative medicines: Diclofenac. Stock Available: YES. Dosage: 1 tablet after meals.
53,Medicine Name: Crocin. Strength: 400mg. Used for: Dehydration. Alternative medicines: Cetirizine. Stock Available: NO. Dosage: 1 tablet after meals.
54,Medicine Name: Ors. Strength: 100mg. Used for: Inflammation. Alternative medicines: Ibuprofen. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
55,Medicine Name: Amoxicillin. Strength: 200ml. Used for: Acidity. Alternative medicines: Electral. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
56,Medicine Name: Metformin. Strength: 200ml. Used for: Allergy. Alternative medicines: Diclofenac. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
57,Medicine Name: Zincovit. Strength: 200ml. Used for: Diabetes. Alternative medicines: Diclofenac. Stock Available: YES. Dosage: As directed by doctor.
58,Medicine Name: Famotidine. Strength: 250mg. Used for: Acidity. Alternative medicines: Ibuprofen. Stock Available: YES. Dosage: 1 tablet daily.
59,Medicine Name: Ors. Strength: 200ml. Used for: Allergy. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 tablet at night.
60,Medicine Name: Metformin. Strength: 100mg. Used for: Immunity Boost. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 tablet at night.
61,Medicine Name: Ibuprofen. Strength: 650mg. Used for: Fever. Alternative medicines: Vitamin C. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
62,Medicine Name: Electral. Strength: 650mg. Used for: Headache. Alternative medicines: ORS. Stock Available: YES. Dosage: As directed by doctor.
63,Medicine Name: Ibuprofen. Strength: 200ml. Used for: Immunity Boost. Alternative medicines: Electral. Stock Available: NO. Dosage: 1 tablet daily.
64,Medicine Name: Vitamin C. Strength: 500mg. Used for: Dehydration. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: 1 tablet after meals.
65,Medicine Name: Diclofenac. Strength: 10ml. Used for: Headache. Alternative medicines: Levocetirizine. Stock Available: NO. Dosage: As directed by doctor.
66,Medicine Name: Clarithromycin. Strength: 10ml. Used for: Pain. Alternative medicines: Insulin. Stock Available: NO. Dosage: As directed by doctor.
67,Medicine Name: Cetirizine. Strength: 400mg. Used for: Throat Infection. Alternative medicines: Cetirizine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
68,Medicine Name: Metformin. Strength: 100mg. Used for: Inflammation. Alternative medicines: Insulin. Stock Available: NO. Dosage: 1 tablet at night.
