Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction
1,Electral,400mg,Throat Infection,Amoxicillin,yes,1 tablet after meals
2,Ranitidine,200ml,Inflammation,Metformin,No,1 capsule every 8 hrs
3,Ranitidine,10ml,Immunity Boost,Cetirizine,Yes,1 tablet at night
4,Crocin,100mg,Diabetes,Famotidine,Yes,1 tablet every 6 hrs
5,Ibuprofen,400mg,Diabetes,Crocin,Yes,1 capsule every 8 hrs
6,Paracetamol,10ml,Throat Infection,Amoxicillin,Yes,1 tablet daily
7,Dolo,100mg,Pain,Azithromycin,Yes,1 tablet at night
8,Dolo,650mg,Pain,Ranitidine,Yes,1 capsule every 8 hrs
9,Diclofenac,250mg,Pain,Metformin,No,1 tablet after meals
10,Clarithromycin,10ml,Fever,ORS,Yes,1 tablet at night
11,Dolo,400mg,Acidity,Zincovit,No,1 capsule every 8 hrs
12,Paracetamol,250mg,Acidity,Dolo,No,1 tablet daily
13,Zincovit,400mg,Inflammation,Metformin,Yes,1 tablet after meals
14,ORS,100mg,Headache,Dolo,No,1 tablet every 6 hrs
15,Clarithromycin,400mg,Pain,Ranitidine,Yes,1 tablet daily
16,ORS,650mg,Bacterial Infection,Vitamin C,Yes,1 tablet daily
17,Electral,650mg,Acidity,Paracetamol,No,As directed by doctor
18,Metformin,650mg,Pain,Metformin,Yes,1 tablet after meals
19,Metformin,400mg,Headache,Amoxicillin,Yes,As directed by doctor
20,ORS,200ml,Headache,Vitamin C,Yes,As directed by doctor
21,Clarithromycin,100mg,Inflammation,Levocetirizine,Yes,1 tablet every 6 hrs
22,Paracetamol,100mg,Dehydration,Amoxicillin,No,As directed by doctor
23,Vitamin C,650mg,Bacterial Infection,Glimepiride,Yes,1 tablet at night
24,ORS,100mg,Inflammation,Glimepiride,No,1 tablet every 6 hrs
25,Clarithromycin,250mg,Fever,Paracetamol,Yes,1 tablet daily
26,Famotidine,650mg,Acidity,Glimepiride,No,1 tablet after meals
27,Diclofenac,250mg,Cold,Paracetamol,No,1 tablet daily
28,Vitamin C,500mg,Immunity Boost,Dolo,No,1 capsule every 8 hrs
29,Glimepiride,10ml,Throat Infection,Amoxicillin,No,1 capsule every 8 hrs
30,Glimepiride,100mg,Immunity Boost,Dolo,No,1 tablet at night
31,Azithromycin,400mg,Throat Infection,Famotidine,Yes,As directed by doctor
32,Amoxicillin,250mg,Acidity,Insulin,Yes,1 tablet every 6 hrs
33,Amoxicillin,400mg,Headache,Glimepiride,Yes,As directed by doctor
34,Levocetirizine,200ml,Inflammation,Azithromycin,Yes,As directed by doctor
35,Famotidine,10ml,Dehydration,Vitamin C,Yes,1 capsule every 8 hrs
36,Cetirizine,400mg,Allergy,Dolo,No,1 tablet daily
37,Diclofenac,500mg,Immunity Boost,Metformin,No,1 capsule every 8 hrs
38,Famotidine,200ml,Inflammation,Amoxicillin,Yes,1 tablet daily
39,Dolo,200ml,Bacterial Infection,ORS,No,1 tablet after meals
40,Zincovit,500mg,Allergy,Vitamin C,No,1 tablet every 6 hrs
41,Clarithromycin,250mg,Immunity Boost,Azithromycin,No,1 tablet every 6 hrs
42,Famotidine,200ml,Bacterial Infection,Ibuprofen,Yes,1 tablet after meals
43,ORS,10ml,Pain,Ranitidine,No,1 tablet daily
44,Azithromycin,250mg,Bacterial Infection,Azithromycin,Yes,1 tablet every 6 hrs
45,Famotidine,250mg,Allergy,ORS,Yes,1 tablet every 6 hrs
46,Vitamin C,650mg,Allergy,Zincovit,No,1 tablet after meals
47,Insulin,200ml,Acidity,Levocetirizine,No,1 capsule every 8 hrs
48,Dolo,250mg,Cold,ORS,No,1 capsule every 8 hrs
49,Azithromycin,500mg,Fever,Famotidine,No,1 capsule every 8 hrs
50,Levocetirizine,100mg,Cold,Azithromycin,No,1 tablet every 6 hrs
51,Azithromycin,500mg,Headache,Dolo,No,1 capsule every 8 hrs
52,Electral,250mg,Throat Infection,Diclofenac,Yes,1 tablet after meals
53,Crocin,400mg,Dehydration,Cetirizine,No,1 tablet after meals
54,ORS,100mg,Inflammation,Ibuprofen,No,1 tablet every 6 hrs
55,Amoxicillin,200ml,Acidity,Electral,No,1 capsule every 8 hrs
56,Metformin,200ml,Allergy,Diclofenac,Yes,1 capsule every 8 hrs
57,Zincovit,200ml,Diabetes,Diclofenac,Yes,As directed by doctor
58,Famotidine,250mg,Acidity,Ibuprofen,Yes,1 tablet daily
59,ORS,200ml,Allergy,Amoxicillin,Yes,1 tablet at night
60,Metformin,100mg,Immunity Boost,ORS,Yes,1 tablet at night
61,Ibuprofen,650mg,Fever,Vitamin C,No,1 capsule every 8 hrs
62,Electral,650mg,Headache,ORS,Yes,As directed by doctor
63,Ibuprofen,200ml,Immunity Boost,Electral,No,1 tablet daily
64,Vitamin C,500mg,Dehydration,Azithromycin,No,1 tablet after meals
65,Diclofenac,10ml,Headache,Levocetirizine,No,As directed by doctor
66,Clarithromycin,10ml,Pain,Insulin,No,As directed by doctor
67,Cetirizine,400mg,Throat Infection,Cetirizine,No,1 capsule every 8 hrs
68,Metformin,100mg,Inflammation,Insulin,No,1 tablet at night
69,Zincovit,10ml,Diabetes,Levocetirizine,No,As directed by doctor
70,Clarithromycin,10ml,Immunity Boost,Diclofenac,No,1 tablet daily
71,Levocetirizine,650mg,Inflammation,Azithromycin,Yes,1 tablet daily
72,Levocetirizine,400mg,Bacterial Infection,Crocin,No,As directed by doctor
73,Famotidine,400mg,Allergy,Dolo,No,As directed by doctor
74,Zincovit,500mg,Acidity,Electral,Yes,1 tablet at night
75,Clarithromycin,250mg,Diabetes,ORS,Yes,1 tablet daily
76,Insulin,250mg,Bacterial Infection,Metformin,No,1 tablet at night
77,Zincovit,400mg,Acidity,Famotidine,No,1 tablet at night
78,Ranitidine,250mg,Dehydration,Paracetamol,No,1 tablet daily
79,Vitamin C,650mg,Acidity,Famotidine,No,1 capsule every 8 hrs
80,Crocin,650mg,Throat Infection,Ranitidine,Yes,1 capsule every 8 hrs
81,Insulin,100mg,Dehydration,Paracetamol,No,1 capsule every 8 hrs
82,Amoxicillin,250mg,Throat Infection,Cetirizine,No,1 capsule every 8 hrs
83,Amoxicillin,250mg,Bacterial Infection,Metformin,No,1 tablet every 6 hrs
84,Cetirizine,650mg,Throat Infection,Dolo,No,1 capsule every 8 hrs
85,Ranitidine,650mg,Diabetes,ORS,No,1 tablet after meals
86,Vitamin C,500mg,Headache,Paracetamol,No,As directed by doctor
87,Electral,200ml,Acidity,Vitamin C,No,1 tablet after meals
88,Ibuprofen,500mg,Pain,Azithromycin,No,1 tablet every 6 hrs
89,Zincovit,250mg,Immunity Boost,Amoxicillin,Yes,1 capsule every 8 hrs
90,Levocetirizine,500mg,Headache,Glimepiride,Yes,1 tablet after meals
91,Ibuprofen,400mg,Headache,Dolo,No,1 tablet every 6 hrs
92,Metformin,650mg,Cold,Metformin,No,1 capsule every 8 hrs
93,Ranitidine,100mg,Throat Infection,Azithromycin,No,As directed by doctor
94,Dolo,10ml,Cold,Clarithromycin,Yes,1 tablet every 6 hrs
95,Vitamin C,10ml,Immunity Boost,Cetirizine,Yes,1 capsule every 8 hrs
96,Famotidine,100mg,Diabetes,ORS,Yes,1 tablet at night
97,Zincovit,400mg,Pain,Vitamin C,No,1 tablet at night
98,Paracetamol,250mg,Throat Infection,ORS,Yes,1 tablet every 6 hrs
99,Electral,200ml,Diabetes,Ranitidine,Yes,1 capsule every 8 hrs
100,Crocin,400mg,Acidity,Azithromycin,No,As directed by doctor
101,Ranitidine,10ml,Allergy,ORS,Yes,1 tablet daily
102,Levocetirizine,100mg,Inflammation,Glimepiride,Yes,1 capsule every 8 hrs
103,Amoxicillin,250mg,Cold,Insulin,Yes,1 tablet daily
104,Azithromycin,10ml,Dehydration,Paracetamol,No,1 tablet every 6 hrs
105,Crocin,650mg,Diabetes,Paracetamol,No,1 capsule every 8 hrs
106,Amoxicillin,200ml,Cold,Amoxicillin,Yes,1 tablet at night
107,Cetirizine,650mg,Pain,Ranitidine,No,As directed by doctor
108,Crocin,400mg,Pain,Crocin,No,1 tablet after meals
109,Zincovit,500mg,Acidity,Cetirizine,Yes,1 tablet at night
110,Metformin,100mg,Pain,Amoxicillin,No,1 tablet daily
111,Metformin,500mg,Throat Infection,Vitamin C,Yes,1 tablet daily
112,Electral,10ml,Diabetes,Amoxicillin,Yes,1 tablet daily
113,Dolo,200ml,Dehydration,Vitamin C,Yes,As directed by doctor
114,Levocetirizine,200ml,Bacterial Infection,Paracetamol,Yes,As directed by doctor
115,Insulin,250mg,Acidity,Famotidine,Yes,As directed by doctor
116,Crocin,100mg,Throat Infection,Insulin,Yes,1 tablet every 6 hrs
117,Clarithromycin,400mg,Inflammation,Azithromycin,No,1 tablet every 6 hrs
118,Dolo,400mg,Fever,Clarithromycin,Yes,1 tablet at night
119,Paracetamol,250mg,Inflammation,Crocin,No,1 tablet daily
120,Amoxicillin,400mg,Throat Infection,Crocin,Yes,1 tablet after meals
121,Clarithromycin,500mg,Acidity,Amoxicillin,Yes,1 capsule every 8 hrs
122,Paracetamol,500mg,Fever,Vitamin C,No,1 tablet daily
123,Paracetamol,500mg,Throat Infection,Ranitidine,No,1 tablet after meals
124,Electral,100mg,Bacterial Infection,Clarithromycin,Yes,1 tablet daily
125,Azithromycin,100mg,Inflammation,Zincovit,No,1 capsule every 8 hrs
126,Cetirizine,400mg,Acidity,Azithromycin,No,1 tablet daily
